sensitivity,compressionRatio,pfError
0,0.784692,0
0.01,0.784692,0
0.02,0.784692,0
0.03,0.784692,0
0.04,0.784692,0
0.05,0.784692,0
0.06,0.784692,0
0.07,0.784721,3.68446e-05
0.08,0.784721,3.68446e-05
0.09,0.784721,3.68446e-05
0.1,0.784721,3.68446e-05
0.11,0.784721,3.68446e-05
0.12,0.784721,3.68446e-05
0.13,0.784721,3.68446e-05
0.14,0.784721,3.68446e-05
0.15,0.784721,3.68446e-05
0.16,0.784721,3.68446e-05
0.17,0.784721,3.68446e-05
0.18,0.784721,3.68446e-05
0.19,0.784721,3.68446e-05
0.2,0.784721,3.68446e-05
0.21,0.784721,3.68446e-05
0.22,0.784721,3.68446e-05
0.23,0.784721,3.68446e-05
0.24,0.784721,3.68446e-05
0.25,0.784721,3.68446e-05
0.26,0.784721,3.68446e-05
0.27,0.784721,3.68446e-05
0.28,0.784721,3.68446e-05
0.29,0.784721,3.68446e-05
0.3,0.784721,3.68446e-05
0.31,0.784721,3.68446e-05
0.32,0.784721,3.68446e-05
0.33,0.784721,3.68446e-05
0.34,0.784721,3.68446e-05
0.35,0.784721,3.68446e-05
0.36,0.784721,3.68446e-05
0.37,0.784721,3.68446e-05
0.38,0.784721,3.68446e-05
0.39,0.784721,3.68446e-05
0.4,0.784721,3.68446e-05
0.41,0.784721,3.68446e-05
0.42,0.784721,3.68446e-05
0.43,0.784721,3.68446e-05
0.44,0.784721,3.68446e-05
0.45,0.784721,3.68446e-05
0.46,0.784721,3.68446e-05
0.47,0.784721,3.68446e-05
0.48,0.784721,3.68446e-05
0.49,0.784721,3.68446e-05
0,0.87493,0
0.01,0.87493,0
0.02,0.87493,0
0.03,0.87493,0
0.04,0.87493,0
0.05,0.87493,0
0.06,0.87493,0
0.07,0.87493,0
0.08,0.87493,0
0.09,0.87493,0
0.1,0.87493,0
0.11,0.87493,0
0.12,0.87493,0
0.13,0.87493,0
0.14,0.87493,0
0.15,0.87493,0
0.16,0.87493,0
0.17,0.87493,0
0.18,0.87493,0
0.19,0.87493,0
0.2,0.87493,0
0.21,0.87493,0
0.22,0.87493,0
0.23,0.87493,0
0.24,0.87493,0
0.25,0.87493,0
0.26,0.87493,0
0.27,0.87493,0
0.28,0.87493,0
0.29,0.87493,0
0.3,0.87493,0
0.31,0.87493,0
0.32,0.87493,0
0.33,0.87493,0
0.34,0.87493,0
0.35,0.87493,0
0.36,0.87493,0
0.37,0.87493,0
0.38,0.87493,0
0.39,0.87493,0
0.4,0.87493,0
0.41,0.87493,0
0.42,0.87493,0
0.43,0.87493,0
0.44,0.87493,0
0.45,0.87493,0
0.46,0.87493,0
0.47,0.87493,0
0.48,0.87493,0
0.49,0.87493,0
0,0.5,0
0.01,0.5,0
0.02,0.5,0
0.03,0.5,0
0.04,0.5,0
0.05,0.5,0
0.06,0.5,0
0.07,0.5,0
0.08,0.5,0
0.09,0.5,0
0.1,0.5,0
0.11,0.5,0
0.12,0.5,0
0.13,0.5,0
0.14,0.5,0
0.15,0.5,0
0.16,0.5,0
0.17,0.5,0
0.18,0.5,0
0.19,0.5,0
0.2,0.5,0
0.21,0.5,0
0.22,0.5,0
0.23,0.5,0
0.24,0.5,0
0.25,0.5,0
0.26,0.5,0
0.27,0.5,0
0.28,0.5,0
0.29,0.5,0
0.3,0.5,0
0.31,0.5,0
0.32,0.5,0
0.33,0.5,0
0.34,0.5,0
0.35,0.5,0
0.36,0.5,0
0.37,0.5,0
0.38,0.5,0
0.39,0.5,0
0.4,0.5,0
0.41,0.5,0
0.42,0.5,0
0.43,0.5,0
0.44,0.5,0
0.45,0.5,0
0.46,0.5,0
0.47,0.5,0
0.48,0.5,0
0.49,0.5,0
0,0.829216,2.26157e-09
0.01,0.833805,0.00112602
0.02,0.83458,0.00262849
0.03,0.834744,0.00302868
0.04,0.840719,0.00557614
0.05,0.844355,0.00654201
0.06,0.848409,0.00819548
0.07,0.848438,0.00826436
0.08,0.853505,0.0106304
0.09,0.853505,0.012926
0.1,0.853505,0.0176557
0.11,0.853564,0.0234331
0.12,0.872146,0.0244185
0.13,0.872146,0.0244185
0.14,0.872146,0.0251222
0.15,0.872146,0.0264165
0.16,0.872206,0.035536
0.17,0.872206,0.035536
0.18,0.872206,0.035536
0.19,0.872206,0.035536
0.2,0.872206,0.035536
0.21,0.872206,0.0400716
0.22,0.872206,0.0400716
0.23,0.872206,0.0422433
0.24,0.872206,0.0458416
0.25,0.872325,0.0595856
0.26,0.872325,0.0595856
0.27,0.872325,0.0595856
0.28,0.872385,0.0669676
0.29,0.872385,0.0669676
0.3,0.872385,0.0669676
0.31,0.872385,0.0669676
0.32,0.872385,0.0669676
0.33,0.872385,0.0669676
0.34,0.872385,0.0669676
0.35,0.872385,0.0669676
0.36,0.872385,0.0669676
0.37,0.872385,0.0669676
0.38,0.872385,0.0669676
0.39,0.872385,0.0669676
0.4,0.872385,0.0669676
0.41,0.872385,0.0669676
0.42,0.872385,0.0669676
0.43,0.872385,0.0669676
0.44,0.872385,0.0669676
0.45,0.872385,0.0669676
0.46,0.872385,0.0669676
0.47,0.872385,0.0669676
0.48,0.872385,0.0669676
0.49,0.872385,0.0669676
