sensitivity,compressionRatio,pfError
0,0.783491,0
0.01,0.783491,0
0.02,0.783491,0
0.03,0.783491,0
0.04,0.783491,0
0.05,0.783491,0
0.06,0.783491,0
0.07,0.783491,0
0.08,0.783491,0
0.09,0.783491,0
0.1,0.783491,0
0.11,0.783491,0
0.12,0.783491,0
0.13,0.783491,0
0.14,0.783491,0
0.15,0.783491,0
0.16,0.783491,0
0.17,0.783491,0
0.18,0.783491,0
0.19,0.783491,0
0.2,0.783491,0
0.21,0.783491,0
0.22,0.783491,0
0.23,0.783491,0
0.24,0.783491,0
0.25,0.783491,0
0.26,0.783491,0
0.27,0.783491,0
0.28,0.783491,0
0.29,0.783491,0
0.3,0.783491,0
0.31,0.783491,0
0.32,0.783491,0
0.33,0.783491,0
0.34,0.783491,0
0.35,0.783491,0
0.36,0.783491,0
0.37,0.783491,0
0.38,0.783491,0
0.39,0.783491,0
0.4,0.783491,0
0.41,0.783491,0
0.42,0.783491,0
0.43,0.783491,0
0.44,0.783491,0
0.45,0.783491,0
0.46,0.783491,0
0.47,0.783491,0
0.48,0.783491,0
0.49,0.783491,0
0,0.874554,0
0.01,0.874554,0
0.02,0.874554,0
0.03,0.874554,0
0.04,0.874554,0
0.05,0.874554,0
0.06,0.874554,0
0.07,0.874554,0
0.08,0.874554,0
0.09,0.874554,0
0.1,0.874554,0
0.11,0.874554,0
0.12,0.874554,0
0.13,0.874554,0
0.14,0.874554,0
0.15,0.874554,0
0.16,0.874554,0
0.17,0.874554,0
0.18,0.874554,0
0.19,0.874554,0
0.2,0.874554,0
0.21,0.874554,0
0.22,0.874554,0
0.23,0.874554,0
0.24,0.874554,0
0.25,0.874554,0
0.26,0.874554,0
0.27,0.874554,0
0.28,0.874554,0
0.29,0.874554,0
0.3,0.874554,0
0.31,0.874554,0
0.32,0.874554,0
0.33,0.874554,0
0.34,0.874554,0
0.35,0.874554,0
0.36,0.874554,0
0.37,0.874554,0
0.38,0.874554,0
0.39,0.874554,0
0.4,0.874554,0
0.41,0.874554,0
0.42,0.874554,0
0.43,0.874554,0
0.44,0.874554,0
0.45,0.874554,0
0.46,0.874554,0
0.47,0.874554,0
0.48,0.874554,0
0.49,0.874554,0
0,0.5,0
0.01,0.5,0
0.02,0.5,0
0.03,0.5,0
0.04,0.5,0
0.05,0.5,0
0.06,0.5,0
0.07,0.5,0
0.08,0.5,0
0.09,0.5,0
0.1,0.5,0
0.11,0.5,0
0.12,0.5,0
0.13,0.5,0
0.14,0.5,0
0.15,0.5,0
0.16,0.5,0
0.17,0.5,0
0.18,0.5,0
0.19,0.5,0
0.2,0.5,0
0.21,0.5,0
0.22,0.5,0
0.23,0.5,0
0.24,0.5,0
0.25,0.5,0
0.26,0.5,0
0.27,0.5,0
0.28,0.5,0
0.29,0.5,0
0.3,0.5,0
0.31,0.5,0
0.32,0.5,0
0.33,0.5,0
0.34,0.5,0
0.35,0.5,0
0.36,0.5,0
0.37,0.5,0
0.38,0.5,0
0.39,0.5,0
0.4,0.5,0
0.41,0.5,0
0.42,0.5,0
0.43,0.5,0
0.44,0.5,0
0.45,0.5,0
0.46,0.5,0
0.47,0.5,0
0.48,0.5,0
0.49,0.5,0
0,0.820688,3.9261e-10
0.01,0.842082,0.000947292
0.02,0.860739,0.00164044
0.03,0.860996,0.0045138
0.04,0.860996,0.0078414
0.05,0.861167,0.00775803
0.06,0.861167,0.00775803
0.07,0.861167,0.00775803
0.08,0.861167,0.00775803
0.09,0.861167,0.00775803
0.1,0.861167,0.00775803
0.11,0.861167,0.00775803
0.12,0.861167,0.00775803
0.13,0.861167,0.00775803
0.14,0.861167,0.00775803
0.15,0.861167,0.00775803
0.16,0.861167,0.00775803
0.17,0.861167,0.00775803
0.18,0.861167,0.00775803
0.19,0.861167,0.00775803
0.2,0.861167,0.00775803
0.21,0.861167,0.00775803
0.22,0.861167,0.00775803
0.23,0.861167,0.00775803
0.24,0.861167,0.00775803
0.25,0.861167,0.00775803
0.26,0.861167,0.00775803
0.27,0.861167,0.00775803
0.28,0.861167,0.00775803
0.29,0.861167,0.00775803
0.3,0.861167,0.00775803
0.31,0.861167,0.00775803
0.32,0.861167,0.00775803
0.33,0.861167,0.00775803
0.34,0.861167,0.00775803
0.35,0.861167,0.00775803
0.36,0.861167,0.00775803
0.37,0.861167,0.00775803
0.38,0.861167,0.00775803
0.39,0.861167,0.00775803
0.4,0.861167,0.00775803
0.41,0.861167,0.00775803
0.42,0.861167,0.00775803
0.43,0.861167,0.00775803
0.44,0.861167,0.00775803
0.45,0.861167,0.00775803
0.46,0.861167,0.00775803
0.47,0.861167,0.00775803
0.48,0.861167,0.00775803
0.49,0.861167,0.00775803
