sensitivity,compressionRatio,pfError
0,0.784692,0
0.01,0.784692,0
0.02,0.784692,0
0.03,0.784692,0
0.04,0.784692,0
0.05,0.784692,0
0.06,0.784692,0
0.07,0.784721,3.68446e-05
0.08,0.784721,3.68446e-05
0.09,0.784721,3.68446e-05
0.1,0.784721,3.68446e-05
0.11,0.784721,3.68446e-05
0.12,0.784721,3.68446e-05
0.13,0.784721,3.68446e-05
0.14,0.784721,3.68446e-05
0.15,0.784721,3.68446e-05
0.16,0.784721,3.68446e-05
0.17,0.784721,3.68446e-05
0.18,0.784721,3.68446e-05
0.19,0.784721,3.68446e-05
0.2,0.784721,3.68446e-05
0.21,0.784721,3.68446e-05
0.22,0.784721,3.68446e-05
0.23,0.784721,3.68446e-05
0.24,0.784721,3.68446e-05
0.25,0.784721,3.68446e-05
0.26,0.784721,3.68446e-05
0.27,0.784721,3.68446e-05
0.28,0.784721,3.68446e-05
0.29,0.784721,3.68446e-05
0.3,0.784721,3.68446e-05
0.31,0.784721,3.68446e-05
0.32,0.784721,3.68446e-05
0.33,0.784721,3.68446e-05
0.34,0.784721,3.68446e-05
0.35,0.784721,3.68446e-05
0.36,0.784721,3.68446e-05
0.37,0.784721,3.68446e-05
0.38,0.784721,3.68446e-05
0.39,0.784721,3.68446e-05
0.4,0.784721,3.68446e-05
0.41,0.784721,3.68446e-05
0.42,0.784721,3.68446e-05
0.43,0.784721,3.68446e-05
0.44,0.784721,3.68446e-05
0.45,0.784721,3.68446e-05
0.46,0.784721,3.68446e-05
0.47,0.784721,3.68446e-05
0.48,0.784721,3.68446e-05
0.49,0.784721,3.68446e-05
0,0.87493,0
0.01,0.87493,0
0.02,0.87493,0
0.03,0.87493,0
0.04,0.87493,0
0.05,0.87493,0
0.06,0.87493,0
0.07,0.87493,0
0.08,0.87493,0
0.09,0.87493,0
0.1,0.87493,0
0.11,0.87493,0
0.12,0.87493,0
0.13,0.87493,0
0.14,0.87493,0
0.15,0.87493,0
0.16,0.87493,0
0.17,0.87493,0
0.18,0.87493,0
0.19,0.87493,0
0.2,0.87493,0
0.21,0.87493,0
0.22,0.87493,0
0.23,0.87493,0
0.24,0.87493,0
0.25,0.87493,0
0.26,0.87493,0
0.27,0.87493,0
0.28,0.87493,0
0.29,0.87493,0
0.3,0.87493,0
0.31,0.87493,0
0.32,0.87493,0
0.33,0.87493,0
0.34,0.87493,0
0.35,0.87493,0
0.36,0.87493,0
0.37,0.87493,0
0.38,0.87493,0
0.39,0.87493,0
0.4,0.87493,0
0.41,0.87493,0
0.42,0.87493,0
0.43,0.87493,0
0.44,0.87493,0
0.45,0.87493,0
0.46,0.87493,0
