ts,node,srx,stx,etx,erx
0,0,1,1,6,21
0,1,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
2,0,1,1,6,21
2,1,0,0,0,0
2,2,0,0,0,0
2,3,1,1,21,21
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
2,7,0,0,0,0
2,8,0,0,0,0
18,0,1,1,6,21
18,1,1,1,21,21
18,2,0,0,0,0
18,3,1,1,21,21
18,4,0,0,0,0
18,5,0,0,0,0
18,6,0,0,0,0
18,7,0,0,0,0
18,8,0,0,0,0
119,0,1,1,7,21
119,1,1,1,21,21
119,2,0,0,0,0
119,3,1,1,21,21
119,4,0,0,0,0
119,5,0,0,0,0
119,6,0,0,0,0
119,7,0,0,0,0
119,8,0,0,0,0
183,0,1,1,8,21
183,1,1,1,21,21
183,2,0,0,0,0
183,3,1,1,21,21
183,4,0,0,0,0
183,5,0,0,0,0
183,6,0,0,0,0
183,7,0,0,0,0
183,8,0,0,0,0
194,0,1,1,8,21
194,1,1,1,21,21
194,2,0,0,0,0
194,3,1,1,21,21
194,4,1,1,21,21
194,5,0,0,0,0
194,6,0,0,0,0
194,7,0,0,0,0
194,8,0,0,0,0
200,0,1,1,8,21
200,1,1,1,21,21
200,2,1,1,21,21
200,3,1,1,21,21
200,4,1,1,21,21
200,5,0,0,0,0
200,6,0,0,0,0
200,7,0,0,0,0
200,8,0,0,0,0
208,0,1,1,8,21
208,1,1,1,21,21
208,2,1,1,21,21
208,3,1,1,21,21
208,4,1,1,21,21
208,5,0,0,0,0
208,6,1,1,21,21
208,7,0,0,0,0
208,8,0,0,0,0
416,0,1,1,9,21
416,1,1,1,21,21
416,2,1,1,21,21
416,3,1,1,21,21
416,4,1,1,21,21
416,5,0,0,0,0
416,6,1,1,21,21
416,7,0,0,0,0
416,8,0,0,0,0
620,0,1,1,10,21
620,1,1,1,21,21
620,2,1,1,21,21
620,3,1,1,21,21
620,4,1,1,21,21
620,5,0,0,0,0
620,6,1,1,21,21
620,7,0,0,0,0
620,8,0,0,0,0
654,0,1,1,10,21
654,1,1,1,21,21
654,2,1,1,21,21
654,3,1,1,21,21
654,4,1,1,21,21
654,5,1,1,21,21
654,6,1,1,21,21
654,7,0,0,0,0
654,8,0,0,0,0
665,0,1,1,10,21
665,1,1,1,21,21
665,2,1,1,21,21
665,3,1,1,21,21
665,4,1,1,21,21
665,5,1,1,21,21
665,6,1,1,21,21
665,7,1,1,21,21
665,8,0,0,0,0
984,0,1,1,11,21
984,1,1,1,21,21
984,2,1,1,21,21
984,3,1,1,21,21
984,4,1,1,21,21
984,5,1,1,21,21
984,6,1,1,21,21
984,7,1,1,21,21
984,8,0,0,0,0
1301,0,1,1,12,21
1301,1,1,1,21,21
1301,2,1,1,21,21
1301,3,1,1,21,21
1301,4,1,1,21,21
1301,5,1,1,21,21
1301,6,1,1,21,21
1301,7,1,1,21,21
1301,8,0,0,0,0
1410,0,1,1,12,21
1410,1,1,1,21,21
1410,2,1,1,21,21
1410,3,1,1,21,21
1410,4,1,1,21,21
1410,5,1,1,21,21
1410,6,1,1,21,21
1410,7,1,1,21,21
1410,8,1,1,21,21
1774,0,1,1,13,21
1774,1,1,1,21,21
1774,2,1,1,21,21
1774,3,1,1,21,21
1774,4,1,1,21,21
1774,5,1,1,21,21
1774,6,1,1,21,21
1774,7,1,1,21,21
1774,8,1,1,21,21
2199,0,1,1,14,21
2199,1,1,1,21,21
2199,2,1,1,21,21
2199,3,1,1,21,21
2199,4,1,1,21,21
2199,5,1,1,21,21
2199,6,1,1,21,21
2199,7,1,1,21,21
2199,8,1,1,21,21
2588,0,1,1,15,21
2588,1,1,1,21,21
2588,2,1,1,21,21
2588,3,1,1,21,21
2588,4,1,1,21,21
2588,5,1,1,21,21
2588,6,1,1,21,21
2588,7,1,1,21,21
2588,8,1,1,21,21
2922,0,1,1,16,21
2922,1,1,1,21,21
2922,2,1,1,21,21
2922,3,1,1,21,21
2922,4,1,1,21,21
2922,5,1,1,21,21
2922,6,1,1,21,21
2922,7,1,1,21,21
2922,8,1,1,21,21
3224,0,1,1,17,21
3224,1,1,1,21,21
3224,2,1,1,21,21
3224,3,1,1,21,21
3224,4,1,1,21,21
3224,5,1,1,21,21
3224,6,1,1,21,21
3224,7,1,1,21,21
3224,8,1,1,21,21
3474,0,1,1,18,21
3474,1,1,1,21,21
3474,2,1,1,21,21
3474,3,1,1,21,21
3474,4,1,1,21,21
3474,5,1,1,21,21
3474,6,1,1,21,21
3474,7,1,1,21,21
3474,8,1,1,21,21
3771,0,1,1,19,21
3771,1,1,1,21,21
3771,2,1,1,21,21
3771,3,1,1,21,21
3771,4,1,1,21,21
3771,5,1,1,21,21
3771,6,1,1,21,21
3771,7,1,1,21,21
3771,8,1,1,21,21
4035,0,1,1,20,21
4035,1,1,1,21,21
4035,2,1,1,21,21
4035,3,1,1,21,21
4035,4,1,1,21,21
4035,5,1,1,21,21
4035,6,1,1,21,21
4035,7,1,1,21,21
4035,8,1,1,21,21
4331,0,1,1,21,21
4331,1,1,1,21,21
4331,2,1,1,21,21
4331,3,1,1,21,21
4331,4,1,1,21,21
4331,5,1,1,21,21
4331,6,1,1,21,21
4331,7,1,1,21,21
4331,8,1,1,21,21
5122,0,1,1,21,21
5122,1,1,1,21,21
5122,2,1,1,21,21
5122,3,1,1,21,21
5122,4,2,2,21,22
5122,5,1,1,21,21
5122,6,1,1,21,21
5122,7,1,1,21,21
5122,8,1,1,21,21
5127,0,1,1,21,21
5127,1,2,2,21,22
5127,2,1,1,21,21
5127,3,1,1,21,21
5127,4,2,2,21,22
5127,5,1,1,21,21
5127,6,1,1,21,21
5127,7,1,1,21,21
5127,8,1,1,21,21
5133,0,1,1,21,21
5133,1,2,2,21,22
5133,2,1,1,21,21
5133,3,1,1,21,21
5133,4,2,2,21,22
5133,5,1,1,21,21
5133,6,2,2,21,22
5133,7,1,1,21,21
5133,8,1,1,21,21
5187,0,1,1,21,21
5187,1,2,2,21,22
5187,2,1,1,21,21
5187,3,1,1,21,21
5187,4,2,2,21,22
5187,5,1,1,21,21
5187,6,2,2,22,22
5187,7,1,1,21,21
5187,8,1,1,21,21
5210,0,1,1,21,21
5210,1,2,2,21,22
5210,2,1,1,21,21
5210,3,2,2,22,22
5210,4,2,2,21,22
5210,5,1,1,21,21
5210,6,2,2,22,22
5210,7,1,1,21,21
5210,8,1,1,21,21
5338,0,1,1,21,21
5338,1,2,2,22,22
5338,2,1,1,21,21
5338,3,2,2,22,22
5338,4,2,2,21,22
5338,5,1,1,21,21
5338,6,2,2,22,22
5338,7,1,1,21,21
5338,8,1,1,21,21
5742,0,1,1,21,21
5742,1,2,2,22,22
5742,2,1,1,21,21
5742,3,3,3,22,23
5742,4,2,2,21,22
5742,5,1,1,21,21
5742,6,2,2,22,22
5742,7,1,1,21,21
5742,8,1,1,21,21
5794,0,1,1,21,21
5794,1,3,3,22,23
5794,2,1,1,21,21
5794,3,3,3,22,23
5794,4,2,2,21,22
5794,5,1,1,21,21
5794,6,2,2,22,22
5794,7,1,1,21,21
5794,8,1,1,21,21
6261,0,1,1,21,21
6261,1,3,3,22,23
6261,2,1,1,21,21
6261,3,4,4,22,24
6261,4,2,2,21,22
6261,5,1,1,21,21
6261,6,2,2,22,22
6261,7,1,1,21,21
6261,8,1,1,21,21
6294,0,1,1,21,21
6294,1,4,4,22,24
6294,2,1,1,21,21
6294,3,4,4,22,24
6294,4,2,2,21,22
6294,5,1,1,21,21
6294,6,2,2,22,22
6294,7,1,1,21,21
6294,8,1,1,21,21
6673,0,1,1,21,21
6673,1,4,4,22,24
6673,2,1,1,21,21
6673,3,5,5,22,25
6673,4,2,2,21,22
6673,5,1,1,21,21
6673,6,2,2,22,22
6673,7,1,1,21,21
6673,8,1,1,21,21
6679,0,1,1,21,21
6679,1,5,5,22,25
6679,2,1,1,21,21
6679,3,5,5,22,25
6679,4,2,2,21,22
6679,5,1,1,21,21
6679,6,2,2,22,22
6679,7,1,1,21,21
6679,8,1,1,21,21
8365,0,1,1,21,21
8365,1,6,6,22,26
8365,2,1,1,21,21
8365,3,5,5,22,25
8365,4,2,2,21,22
8365,5,1,1,21,21
8365,6,2,2,22,22
8365,7,1,1,21,21
8365,8,1,1,21,21
8381,0,1,1,21,21
8381,1,6,6,22,26
8381,2,1,1,21,21
8381,3,6,6,22,26
8381,4,2,2,21,22
8381,5,1,1,21,21
8381,6,2,2,22,22
8381,7,1,1,21,21
8381,8,1,1,21,21
8775,0,1,1,21,21
8775,1,7,7,22,27
8775,2,1,1,21,21
8775,3,6,6,22,26
8775,4,2,2,21,22
8775,5,1,1,21,21
8775,6,2,2,22,22
8775,7,1,1,21,21
8775,8,1,1,21,21
8797,0,1,1,21,21
8797,1,7,7,22,27
8797,2,1,1,21,21
8797,3,7,7,22,27
8797,4,2,2,21,22
8797,5,1,1,21,21
8797,6,2,2,22,22
8797,7,1,1,21,21
8797,8,1,1,21,21
9384,0,1,1,21,21
9384,1,8,8,22,28
9384,2,1,1,21,21
9384,3,7,7,22,27
9384,4,2,2,21,22
9384,5,1,1,21,21
9384,6,2,2,22,22
9384,7,1,1,21,21
9384,8,1,1,21,21
9423,0,1,1,21,21
9423,1,8,8,22,28
9423,2,1,1,21,21
9423,3,8,8,22,28
9423,4,2,2,21,22
9423,5,1,1,21,21
9423,6,2,2,22,22
9423,7,1,1,21,21
9423,8,1,1,21,21
9426,0,1,1,21,21
9426,1,8,8,22,28
9426,2,1,1,21,21
9426,3,9,9,22,29
9426,4,2,2,21,22
9426,5,1,1,21,21
9426,6,2,2,22,22
9426,7,1,1,21,21
9426,8,1,1,21,21
10110,0,9,9,23,29
10110,1,8,8,22,28
10110,2,1,1,21,21
10110,3,9,9,22,29
10110,4,2,2,21,22
10110,5,1,1,21,21
10110,6,2,2,22,22
10110,7,1,1,21,21
10110,8,1,1,21,21
10400,0,9,9,23,29
10400,1,9,9,22,29
10400,2,1,1,21,21
10400,3,9,9,22,29
10400,4,2,2,21,22
10400,5,1,1,21,21
10400,6,2,2,22,22
10400,7,1,1,21,21
10400,8,1,1,21,21
11031,0,9,9,23,29
11031,1,10,10,22,30
11031,2,1,1,21,21
11031,3,9,9,22,29
11031,4,2,2,21,22
11031,5,1,1,21,21
11031,6,2,2,22,22
11031,7,1,1,21,21
11031,8,1,1,21,21
11087,0,9,9,23,29
11087,1,10,10,22,30
11087,2,1,1,21,21
11087,3,10,10,22,30
11087,4,2,2,21,22
11087,5,1,1,21,21
11087,6,2,2,22,22
11087,7,1,1,21,21
11087,8,1,1,21,21
11388,0,9,9,23,29
11388,1,10,10,22,30
11388,2,1,1,21,21
11388,3,11,11,22,31
11388,4,2,2,21,22
11388,5,1,1,21,21
11388,6,2,2,22,22
11388,7,1,1,21,21
11388,8,1,1,21,21
11587,0,14,14,24,34
11587,1,10,10,22,30
11587,2,1,1,21,21
11587,3,11,11,22,31
11587,4,2,2,21,22
11587,5,1,1,21,21
11587,6,2,2,22,22
11587,7,1,1,21,21
11587,8,1,1,21,21
11654,0,14,14,24,34
11654,1,11,11,22,31
11654,2,1,1,21,21
11654,3,11,11,22,31
11654,4,2,2,21,22
11654,5,1,1,21,21
11654,6,2,2,22,22
11654,7,1,1,21,21
11654,8,1,1,21,21
11714,0,14,14,24,34
11714,1,11,11,22,31
11714,2,1,1,21,21
11714,3,12,12,22,32
11714,4,2,2,21,22
11714,5,1,1,21,21
11714,6,2,2,22,22
11714,7,1,1,21,21
11714,8,1,1,21,21
11729,0,14,14,24,34
11729,1,12,12,22,32
11729,2,1,1,21,21
11729,3,12,12,22,32
11729,4,2,2,21,22
11729,5,1,1,21,21
11729,6,2,2,22,22
11729,7,1,1,21,21
11729,8,1,1,21,21
12167,0,14,14,24,34
12167,1,13,13,22,33
12167,2,1,1,21,21
12167,3,12,12,22,32
12167,4,2,2,21,22
12167,5,1,1,21,21
12167,6,2,2,22,22
12167,7,1,1,21,21
12167,8,1,1,21,21
12178,0,14,14,24,34
12178,1,13,13,22,33
12178,2,1,1,21,21
12178,3,13,13,22,33
12178,4,2,2,21,22
12178,5,1,1,21,21
12178,6,2,2,22,22
12178,7,1,1,21,21
12178,8,1,1,21,21
12532,0,14,14,24,34
12532,1,13,13,22,33
12532,2,1,1,21,21
12532,3,13,13,22,33
12532,4,2,2,21,22
12532,5,1,1,21,21
12532,6,2,2,21,22
12532,7,1,1,21,21
12532,8,1,1,21,21
12675,0,15,15,25,35
12675,1,13,13,22,33
12675,2,1,1,21,21
12675,3,13,13,22,33
12675,4,2,2,21,22
12675,5,1,1,21,21
12675,6,2,2,21,22
12675,7,1,1,21,21
12675,8,1,1,21,21
13008,0,15,15,26,35
13008,1,13,13,22,33
13008,2,1,1,21,21
13008,3,13,13,22,33
13008,4,2,2,21,22
13008,5,1,1,21,21
13008,6,2,2,21,22
13008,7,1,1,21,21
13008,8,1,1,21,21
13398,0,15,15,26,35
13398,1,14,14,22,34
13398,2,1,1,21,21
13398,3,13,13,22,33
13398,4,2,2,21,22
13398,5,1,1,21,21
13398,6,2,2,21,22
13398,7,1,1,21,21
13398,8,1,1,21,21
13409,0,15,15,26,35
13409,1,14,14,22,34
13409,2,1,1,21,21
13409,3,14,14,22,34
13409,4,2,2,21,22
13409,5,1,1,21,21
13409,6,2,2,21,22
13409,7,1,1,21,21
13409,8,1,1,21,21
13812,0,15,15,26,35
13812,1,14,14,22,34
13812,2,1,1,21,21
13812,3,14,14,22,34
13812,4,3,3,21,23
13812,5,1,1,21,21
13812,6,2,2,21,22
13812,7,1,1,21,21
13812,8,1,1,21,21
13834,0,15,15,26,35
13834,1,14,14,22,34
13834,2,1,1,21,21
13834,3,14,14,23,34
13834,4,3,3,21,23
13834,5,1,1,21,21
13834,6,2,2,21,22
13834,7,1,1,21,21
13834,8,1,1,21,21
13838,0,15,15,26,35
13838,1,14,14,23,34
13838,2,1,1,21,21
13838,3,14,14,23,34
13838,4,3,3,21,23
13838,5,1,1,21,21
13838,6,2,2,21,22
13838,7,1,1,21,21
13838,8,1,1,21,21
13853,0,15,15,26,35
13853,1,14,14,23,34
13853,2,1,1,21,21
13853,3,15,15,23,35
13853,4,3,3,21,23
13853,5,1,1,21,21
13853,6,2,2,21,22
13853,7,1,1,21,21
13853,8,1,1,21,21
13868,0,15,15,26,35
13868,1,15,15,23,35
13868,2,1,1,21,21
13868,3,15,15,23,35
13868,4,3,3,21,23
13868,5,1,1,21,21
13868,6,2,2,21,22
13868,7,1,1,21,21
13868,8,1,1,21,21
13938,0,15,15,26,35
13938,1,15,15,23,35
13938,2,1,1,21,21
13938,3,15,15,23,35
13938,4,3,3,21,23
13938,5,1,1,21,21
13938,6,3,3,21,23
13938,7,1,1,21,21
13938,8,1,1,21,21
14008,0,15,15,26,35
14008,1,15,15,23,35
14008,2,1,1,21,21
14008,3,16,16,23,36
14008,4,3,3,21,23
14008,5,1,1,21,21
14008,6,3,3,21,23
14008,7,1,1,21,21
14008,8,1,1,21,21
14589,0,17,17,27,37
14589,1,15,15,23,35
14589,2,1,1,21,21
14589,3,16,16,23,36
14589,4,3,3,21,23
14589,5,1,1,21,21
14589,6,3,3,21,23
14589,7,1,1,21,21
14589,8,1,1,21,21
14822,0,17,17,27,37
14822,1,15,15,23,35
14822,2,1,1,21,21
14822,3,16,16,23,36
14822,4,4,4,21,24
14822,5,1,1,21,21
14822,6,3,3,21,23
14822,7,1,1,21,21
14822,8,1,1,21,21
14855,0,17,17,27,37
14855,1,15,15,23,35
14855,2,1,1,21,21
14855,3,16,16,23,36
14855,4,4,4,21,24
14855,5,1,1,21,21
14855,6,4,4,21,24
14855,7,1,1,21,21
14855,8,1,1,21,21
14981,0,17,17,27,37
14981,1,17,17,24,37
14981,2,1,1,21,21
14981,3,16,16,23,36
14981,4,4,4,21,24
14981,5,1,1,21,21
14981,6,4,4,21,24
14981,7,1,1,21,21
14981,8,1,1,21,21
15736,0,17,17,27,37
15736,1,17,17,24,37
15736,2,1,1,21,21
15736,3,18,18,24,38
15736,4,4,4,21,24
15736,5,1,1,21,21
15736,6,4,4,21,24
15736,7,1,1,21,21
15736,8,1,1,21,21
15744,0,17,17,27,37
15744,1,18,18,24,38
15744,2,1,1,21,21
15744,3,18,18,24,38
15744,4,4,4,21,24
15744,5,1,1,21,21
15744,6,4,4,21,24
15744,7,1,1,21,21
15744,8,1,1,21,21
16167,0,18,18,28,38
16167,1,18,18,24,38
16167,2,1,1,21,21
16167,3,18,18,24,38
16167,4,4,4,21,24
16167,5,1,1,21,21
16167,6,4,4,21,24
16167,7,1,1,21,21
16167,8,1,1,21,21
16853,0,18,18,28,38
16853,1,18,18,24,38
16853,2,1,1,21,21
16853,3,18,18,24,38
16853,4,5,5,21,25
16853,5,1,1,21,21
16853,6,4,4,21,24
16853,7,1,1,21,21
16853,8,1,1,21,21
16870,0,18,18,28,38
16870,1,18,18,24,38
16870,2,1,1,21,21
16870,3,18,18,24,38
16870,4,5,5,21,25
16870,5,1,1,21,21
16870,6,5,5,21,25
16870,7,1,1,21,21
16870,8,1,1,21,21
16876,0,18,18,28,38
16876,1,18,18,24,38
16876,2,1,1,21,21
16876,3,18,18,25,38
16876,4,5,5,21,25
16876,5,1,1,21,21
16876,6,5,5,21,25
16876,7,1,1,21,21
16876,8,1,1,21,21
16975,0,18,18,28,38
16975,1,18,18,24,38
16975,2,1,1,21,21
16975,3,19,19,25,39
16975,4,5,5,21,25
16975,5,1,1,21,21
16975,6,5,5,21,25
16975,7,1,1,21,21
16975,8,1,1,21,21
17161,0,19,19,29,39
17161,1,18,18,24,38
17161,2,1,1,21,21
17161,3,19,19,25,39
17161,4,5,5,21,25
17161,5,1,1,21,21
17161,6,5,5,21,25
17161,7,1,1,21,21
17161,8,1,1,21,21
17181,0,19,19,29,39
17181,1,18,18,24,38
17181,2,2,2,21,22
17181,3,19,19,25,39
17181,4,5,5,21,25
17181,5,1,1,21,21
17181,6,5,5,21,25
17181,7,1,1,21,21
17181,8,1,1,21,21
17451,0,19,19,29,39
17451,1,18,18,24,38
17451,2,2,2,21,22
17451,3,19,19,25,39
17451,4,5,5,21,25
17451,5,1,1,21,21
17451,6,6,6,21,26
17451,7,1,1,21,21
17451,8,1,1,21,21
17462,0,19,19,29,39
17462,1,18,18,24,38
17462,2,2,2,21,22
17462,3,19,19,26,39
17462,4,5,5,21,25
17462,5,1,1,21,21
17462,6,6,6,21,26
17462,7,1,1,21,21
17462,8,1,1,21,21
17650,0,19,19,29,39
17650,1,18,18,24,38
17650,2,2,2,21,22
17650,3,19,19,26,39
17650,4,6,6,21,26
17650,5,1,1,21,21
17650,6,6,6,21,26
17650,7,1,1,21,21
17650,8,1,1,21,21
17794,0,19,19,29,39
17794,1,18,18,24,38
17794,2,2,2,21,22
17794,3,19,19,26,39
17794,4,6,6,21,26
17794,5,1,1,21,21
17794,6,7,7,21,27
17794,7,1,1,21,21
17794,8,1,1,21,21
17795,0,19,19,29,39
17795,1,18,18,24,38
17795,2,2,2,21,22
17795,3,19,19,26,39
17795,4,7,7,21,27
17795,5,1,1,21,21
17795,6,7,7,21,27
17795,7,1,1,21,21
17795,8,1,1,21,21
17832,0,20,20,30,40
17832,1,18,18,24,38
17832,2,2,2,21,22
17832,3,19,19,26,39
17832,4,7,7,21,27
17832,5,1,1,21,21
17832,6,7,7,21,27
17832,7,1,1,21,21
17832,8,1,1,21,21
18037,0,20,20,30,40
18037,1,18,18,24,38
18037,2,2,2,21,22
18037,3,19,19,26,39
18037,4,9,9,21,29
18037,5,1,1,21,21
18037,6,7,7,21,27
18037,7,1,1,21,21
18037,8,1,1,21,21
18077,0,20,20,30,40
18077,1,18,18,24,38
18077,2,2,2,21,22
18077,3,19,19,26,39
18077,4,9,9,21,29
18077,5,1,1,21,21
18077,6,11,11,21,31
18077,7,1,1,21,21
18077,8,1,1,21,21
18108,0,20,20,30,40
18108,1,18,18,24,38
18108,2,2,2,21,22
18108,3,19,19,26,39
18108,4,11,11,21,31
18108,5,1,1,21,21
18108,6,11,11,21,31
18108,7,1,1,21,21
18108,8,1,1,21,21
18162,0,20,20,30,40
18162,1,18,18,24,38
18162,2,2,2,21,22
18162,3,20,20,31,40
18162,4,11,11,21,31
18162,5,1,1,21,21
18162,6,11,11,21,31
18162,7,1,1,21,21
18162,8,1,1,21,21
18198,0,20,20,30,40
18198,1,18,18,24,38
18198,2,2,2,21,22
18198,3,20,20,31,40
18198,4,12,12,21,32
18198,5,1,1,21,21
18198,6,11,11,21,31
18198,7,1,1,21,21
18198,8,1,1,21,21
18229,0,20,20,30,40
18229,1,18,18,24,38
18229,2,3,3,21,23
18229,3,20,20,31,40
18229,4,12,12,21,32
18229,5,1,1,21,21
18229,6,11,11,21,31
18229,7,1,1,21,21
18229,8,1,1,21,21
18306,0,20,20,30,40
18306,1,18,18,24,38
18306,2,3,3,21,23
18306,3,20,20,31,40
18306,4,12,12,21,32
18306,5,1,1,21,21
18306,6,12,12,21,32
18306,7,1,1,21,21
18306,8,1,1,21,21
18621,0,20,20,30,40
18621,1,18,18,24,38
18621,2,3,3,21,23
18621,3,20,20,31,40
18621,4,12,12,21,32
18621,5,1,1,21,21
18621,6,13,13,21,33
18621,7,1,1,21,21
18621,8,1,1,21,21
18637,0,20,20,30,40
18637,1,18,18,24,38
18637,2,3,3,21,23
18637,3,20,20,31,40
18637,4,13,13,21,33
18637,5,1,1,21,21
18637,6,13,13,21,33
18637,7,1,1,21,21
18637,8,1,1,21,21
18762,0,20,20,30,40
18762,1,18,18,24,38
18762,2,3,3,21,23
18762,3,20,20,31,40
18762,4,14,14,21,34
18762,5,1,1,21,21
18762,6,13,13,21,33
18762,7,1,1,21,21
18762,8,1,1,21,21
18773,0,20,20,30,40
18773,1,18,18,24,38
18773,2,3,3,21,23
18773,3,20,20,31,40
18773,4,14,14,21,34
18773,5,1,1,21,21
18773,6,14,14,21,34
18773,7,1,1,21,21
18773,8,1,1,21,21
18786,0,20,20,30,40
18786,1,18,18,24,38
18786,2,3,3,21,23
18786,3,20,20,34,40
18786,4,14,14,21,34
18786,5,1,1,21,21
18786,6,14,14,21,34
18786,7,1,1,21,21
18786,8,1,1,21,21
18973,0,20,20,30,40
18973,1,18,18,24,38
18973,2,3,3,21,23
18973,3,20,20,34,40
18973,4,15,15,21,35
18973,5,1,1,21,21
18973,6,14,14,21,34
18973,7,1,1,21,21
18973,8,1,1,21,21
18986,0,20,20,30,40
18986,1,18,18,24,38
18986,2,3,3,21,23
18986,3,20,20,34,40
18986,4,15,15,21,35
18986,5,1,1,21,21
18986,6,15,15,21,35
18986,7,1,1,21,21
18986,8,1,1,21,21
19161,0,21,21,31,41
19161,1,18,18,24,38
19161,2,3,3,21,23
19161,3,20,20,34,40
19161,4,15,15,21,35
19161,5,1,1,21,21
19161,6,15,15,21,35
19161,7,1,1,21,21
19161,8,1,1,21,21
19257,0,21,21,31,41
19257,1,20,20,35,40
19257,2,3,3,21,23
19257,3,20,20,34,40
19257,4,15,15,21,35
19257,5,1,1,21,21
19257,6,15,15,21,35
19257,7,1,1,21,21
19257,8,1,1,21,21
19321,0,21,21,31,41
19321,1,20,20,35,40
19321,2,3,3,21,23
19321,3,21,21,35,41
19321,4,15,15,21,35
19321,5,1,1,21,21
19321,6,15,15,21,35
