ts,node,srx,stx,etx,erx
0,0,1,1,41,41
0,1,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
2,0,1,1,41,41
2,1,0,0,0,0
2,2,0,0,0,0
2,3,1,1,21,21
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
2,7,0,0,0,0
2,8,0,0,0,0
7,0,1,1,41,41
7,1,1,1,21,21
7,2,0,0,0,0
7,3,1,1,21,21
7,4,0,0,0,0
7,5,0,0,0,0
7,6,0,0,0,0
7,7,0,0,0,0
7,8,0,0,0,0
93,0,1,1,41,41
93,1,1,1,21,21
93,2,1,1,21,21
93,3,1,1,21,21
93,4,0,0,0,0
93,5,0,0,0,0
93,6,0,0,0,0
93,7,0,0,0,0
93,8,0,0,0,0
95,0,1,1,41,41
95,1,1,1,21,21
95,2,1,1,21,21
95,3,1,1,21,21
95,4,0,0,0,0
95,5,0,0,0,0
95,6,1,1,21,21
95,7,0,0,0,0
95,8,0,0,0,0
97,0,1,1,41,41
97,1,1,1,21,21
97,2,1,1,21,21
97,3,1,1,21,21
97,4,1,1,21,21
97,5,0,0,0,0
97,6,1,1,21,21
97,7,0,0,0,0
97,8,0,0,0,0
173,0,1,1,41,41
173,1,2,2,21,22
173,2,1,1,21,21
173,3,1,1,21,21
173,4,1,1,21,21
173,5,0,0,0,0
173,6,1,1,21,21
173,7,0,0,0,0
173,8,0,0,0,0
175,0,1,1,41,41
175,1,2,2,21,22
175,2,1,1,21,21
175,3,2,2,21,22
175,4,1,1,21,21
175,5,0,0,0,0
175,6,1,1,21,21
175,7,0,0,0,0
175,8,0,0,0,0
185,0,4,4,22,44
185,1,2,2,21,22
185,2,1,1,21,21
185,3,2,2,21,22
185,4,1,1,21,21
185,5,0,0,0,0
185,6,1,1,21,21
185,7,0,0,0,0
185,8,0,0,0,0
227,0,4,4,22,44
227,1,2,2,21,22
227,2,1,1,21,21
227,3,3,3,21,23
227,4,1,1,21,21
227,5,0,0,0,0
227,6,1,1,21,21
227,7,0,0,0,0
227,8,0,0,0,0
229,0,4,4,22,44
229,1,3,3,21,23
229,2,1,1,21,21
229,3,3,3,21,23
229,4,1,1,21,21
229,5,0,0,0,0
229,6,1,1,21,21
229,7,0,0,0,0
229,8,0,0,0,0
247,0,4,4,22,44
247,1,3,3,21,23
247,2,1,1,21,21
247,3,3,3,21,23
247,4,1,1,21,21
247,5,1,1,21,21
247,6,1,1,21,21
247,7,0,0,0,0
247,8,0,0,0,0
259,0,4,4,22,44
259,1,3,3,21,23
259,2,1,1,21,21
259,3,3,3,21,23
259,4,1,1,21,21
259,5,1,1,21,21
259,6,1,1,21,21
259,7,1,1,21,21
259,8,0,0,0,0
299,0,4,4,22,44
299,1,3,3,21,23
299,2,1,1,21,21
299,3,4,4,21,24
299,4,1,1,21,21
299,5,1,1,21,21
299,6,1,1,21,21
299,7,1,1,21,21
299,8,0,0,0,0
303,0,6,6,23,46
303,1,3,3,21,23
303,2,1,1,21,21
303,3,4,4,21,24
303,4,1,1,21,21
303,5,1,1,21,21
303,6,1,1,21,21
303,7,1,1,21,21
303,8,0,0,0,0
319,0,6,6,23,46
319,1,3,3,21,23
319,2,1,1,21,21
319,3,4,4,21,24
319,4,2,2,21,22
319,5,1,1,21,21
319,6,1,1,21,21
319,7,1,1,21,21
319,8,0,0,0,0
323,0,6,6,23,46
323,1,3,3,21,23
323,2,1,1,21,21
323,3,4,4,21,24
323,4,2,2,21,22
323,5,1,1,21,21
323,6,2,2,21,22
323,7,1,1,21,21
323,8,0,0,0,0
338,0,6,6,23,46
